Date, Open, High, Low, Close, Volume
1-Mar-16,32.04,32.85,32.04,32.80,14850864
29-Feb-16,31.31,32.46,31.31,31.79,19208698
26-Feb-16,31.68,31.90,31.22,31.37,16680156
25-Feb-16,30.74,31.36,30.24,31.36,19842342
24-Feb-16,30.41,31.12,29.80,30.95,12612029
23-Feb-16,31.20,31.38,30.50,30.67,16847456
22-Feb-16,30.65,31.21,30.39,31.17,21455295
19-Feb-16,30.19,30.23,29.70,30.04,20706072
18-Feb-16,29.56,30.14,29.39,29.42,15259369
17-Feb-16,29.47,29.66,29.06,29.37,12891554
16-Feb-16,27.98,29.44,27.94,29.28,20127286
12-Feb-16,27.12,27.32,26.72,27.04,12986151
11-Feb-16,26.46,26.97,26.15,26.76,11154923
10-Feb-16,27.11,27.81,26.84,27.10,8933601
9-Feb-16,26.64,27.69,26.51,26.82,13919057
8-Feb-16,27.61,27.97,26.48,27.05,24473574
5-Feb-16,29.06,29.14,27.72,27.97,16077452
4-Feb-16,27.91,29.23,27.71,29.15,28516992
3-Feb-16,28.45,28.61,26.57,27.68,55527649
2-Feb-16,29.32,30.23,28.13,29.06,34088167
1-Feb-16,29.27,29.78,28.79,29.57,12865755
29-Jan-16,29.10,29.51,28.51,29.51,18718334
28-Jan-16,30.59,30.63,28.60,28.75,15420511
27-Jan-16,29.90,30.53,29.44,29.69,13269873
26-Jan-16,29.76,30.19,29.62,29.98,11422624
25-Jan-16,29.96,30.39,29.66,29.78,23095495
22-Jan-16,29.97,30.52,29.31,29.75,16272093
21-Jan-16,28.75,29.80,28.19,29.31,16073930
20-Jan-16,28.98,29.11,27.44,28.78,20455096
19-Jan-16,29.84,30.00,29.31,29.74,20036365
15-Jan-16,29.28,29.77,28.58,29.14,17352014
14-Jan-16,29.69,30.57,28.71,30.32,14995662
13-Jan-16,30.89,31.17,29.32,29.44,16593732
12-Jan-16,30.58,30.97,30.21,30.69,13198495
11-Jan-16,30.65,30.75,29.74,30.17,17140122
8-Jan-16,30.51,31.54,30.00,30.63,26322780
7-Jan-16,30.97,31.19,30.02,30.16,21209071
6-Jan-16,31.67,32.46,31.60,32.16,16047757
5-Jan-16,31.55,32.32,31.53,32.20,14301076
4-Jan-16,32.12,32.35,31.14,31.40,25176155
31-Dec-15,33.22,33.68,33.18,33.26,7423271
30-Dec-15,33.85,34.04,33.35,33.37,5933634
29-Dec-15,33.63,34.17,33.60,34.04,12621892
28-Dec-15,33.90,33.91,33.35,33.60,11020755
24-Dec-15,34.19,34.74,34.10,34.11,3470658
23-Dec-15,34.24,34.58,33.99,34.45,13469154
22-Dec-15,32.99,34.21,32.97,34.19,15531275
21-Dec-15,33.12,33.30,32.69,32.96,9106706
18-Dec-15,33.10,33.63,32.87,32.95,16921825
17-Dec-15,33.81,34.08,33.11,33.23,13243513
16-Dec-15,33.15,33.88,32.91,33.78,12689442
15-Dec-15,32.53,33.39,32.50,33.03,16187259
14-Dec-15,32.94,33.27,32.21,32.59,15949567
11-Dec-15,34.01,34.15,32.82,32.91,14936195
10-Dec-15,34.49,34.73,33.91,34.63,16174180
9-Dec-15,35.80,35.84,33.15,34.40,45101897
8-Dec-15,34.24,34.98,34.03,34.85,19852579
7-Dec-15,34.76,34.92,34.47,34.68,12047935
4-Dec-15,34.34,35.20,34.18,34.91,16109553
3-Dec-15,35.59,35.72,34.10,34.34,17080482
2-Dec-15,35.00,36.39,34.77,35.65,56708065
1-Dec-15,33.87,33.89,33.47,33.71,11020448
30-Nov-15,33.03,33.83,32.85,33.81,17534722
27-Nov-15,32.79,33.08,32.44,32.94,5316055
25-Nov-15,32.77,33.52,32.75,33.16,13257985
24-Nov-15,33.09,33.19,32.61,32.96,13364743
23-Nov-15,33.00,33.87,32.87,33.36,11900386
20-Nov-15,32.86,33.30,32.69,33.11,12498532
19-Nov-15,33.21,33.50,32.58,32.62,14222129
18-Nov-15,32.89,33.02,32.32,32.98,11105624
17-Nov-15,33.01,33.12,32.62,32.86,10270392
16-Nov-15,32.23,32.99,32.12,32.94,11087829
13-Nov-15,32.78,33.04,32.17,32.19,11063301
12-Nov-15,33.20,33.84,33.13,33.23,14273138
11-Nov-15,34.21,34.23,33.02,33.38,11806896
10-Nov-15,33.45,34.13,33.26,33.99,11510965
9-Nov-15,34.07,34.08,33.08,33.68,13645458
6-Nov-15,34.94,35.20,33.46,34.20,16608581
5-Nov-15,35.02,35.30,34.16,35.12,15679054
4-Nov-15,34.89,35.24,34.75,35.07,17501813
3-Nov-15,35.15,35.34,34.65,34.72,12394280
2-Nov-15,35.46,35.48,35.07,35.27,15206693
30-Oct-15,35.14,35.70,35.05,35.62,17418895
29-Oct-15,34.87,35.15,34.70,35.05,10796190
28-Oct-15,34.30,35.27,34.30,35.18,15174273
27-Oct-15,34.97,35.47,33.88,34.30,26380851
26-Oct-15,33.13,33.49,33.00,33.40,15810254
23-Oct-15,32.65,33.36,32.24,33.17,24308632
22-Oct-15,31.26,31.90,31.21,31.67,18501164
21-Oct-15,32.06,32.43,31.01,31.12,30436499
20-Oct-15,33.49,33.59,32.77,32.83,19349173
19-Oct-15,33.26,33.63,33.18,33.50,10856512
16-Oct-15,33.64,33.86,33.16,33.37,12498907
15-Oct-15,32.42,33.49,32.40,33.48,19403801
14-Oct-15,32.28,32.49,31.77,32.09,11282844
13-Oct-15,32.56,32.82,32.32,32.34,15873827
12-Oct-15,32.71,33.02,32.55,32.86,12580273
9-Oct-15,32.35,32.69,31.99,32.52,11830351
8-Oct-15,31.79,32.50,31.73,32.37,14245376
7-Oct-15,31.31,31.99,31.21,31.87,12224842
6-Oct-15,30.79,31.18,30.66,30.96,10572781
5-Oct-15,30.80,31.20,30.35,30.85,12883305
2-Oct-15,28.62,30.71,28.43,30.71,29250543
1-Oct-15,28.95,29.00,28.44,28.91,14467626
30-Sep-15,28.65,29.11,28.49,28.91,18317909
29-Sep-15,28.58,29.23,27.85,28.26,41895407
28-Sep-15,29.03,29.22,27.20,27.60,49541270
25-Sep-15,29.66,29.71,28.90,29.13,12817501
24-Sep-15,29.47,29.57,28.85,29.34,19109920
23-Sep-15,30.56,30.57,29.63,29.74,12755387
22-Sep-15,30.78,30.92,30.17,30.40,15614931
21-Sep-15,31.20,31.74,30.88,31.17,18413401
18-Sep-15,30.51,30.80,30.41,30.74,20538316
17-Sep-15,31.31,31.33,30.81,30.93,16546884
16-Sep-15,31.14,31.77,30.99,31.40,22171672
15-Sep-15,29.72,31.22,29.41,31.04,25661630
14-Sep-15,30.68,30.92,30.00,30.32,22186926
11-Sep-15,31.09,31.43,30.63,31.43,14365370
10-Sep-15,31.35,31.59,31.03,31.15,14287579
9-Sep-15,30.40,31.80,30.35,31.52,47058537
8-Sep-15,32.20,32.83,30.86,30.90,26873863
4-Sep-15,32.00,32.29,31.44,31.58,13854141
3-Sep-15,31.86,32.74,31.80,32.54,13710679
2-Sep-15,32.01,32.03,31.38,31.77,15551472
1-Sep-15,31.49,32.10,31.23,31.60,19828291
31-Aug-15,32.91,32.99,32.23,32.24,13575090
28-Aug-15,33.32,33.57,32.93,33.14,9359480
27-Aug-15,33.36,33.77,32.95,33.69,18949155
26-Aug-15,32.46,32.62,31.11,32.52,25375593
25-Aug-15,32.98,33.03,31.54,31.74,15626118
24-Aug-15,29.02,32.28,29.00,31.31,22876922
21-Aug-15,33.58,34.02,32.91,32.93,18271697
20-Aug-15,34.77,34.95,33.87,34.10,15525775
19-Aug-15,35.67,35.67,35.02,35.19,8976684
18-Aug-15,35.78,36.19,35.60,35.69,11445283
17-Aug-15,36.24,36.24,35.76,36.10,7933557
14-Aug-15,35.82,36.34,35.72,36.24,12241062
13-Aug-15,35.08,36.61,34.82,35.93,28987668
12-Aug-15,34.29,34.77,33.85,34.49,31443155
11-Aug-15,36.74,36.77,35.73,36.03,13833238
10-Aug-15,36.87,37.69,36.87,37.15,11351419
7-Aug-15,36.52,36.76,36.15,36.67,11845497
6-Aug-15,37.34,37.52,36.30,36.46,12299702
5-Aug-15,37.32,37.71,37.23,37.25,6844018
4-Aug-15,36.61,37.21,36.60,37.12,9051917
3-Aug-15,36.67,36.98,36.37,36.69,9887296
31-Jul-15,37.56,37.57,36.62,36.67,15446116
30-Jul-15,37.50,37.69,37.30,37.42,9542683
29-Jul-15,37.92,37.92,37.38,37.67,10290604
28-Jul-15,37.64,37.92,37.27,37.72,10333096
27-Jul-15,38.31,38.31,37.65,37.84,12942727
24-Jul-15,39.58,39.58,38.67,38.85,8590731
23-Jul-15,39.30,39.78,39.06,39.21,9267432
22-Jul-15,38.57,39.63,38.26,39.24,17714798
21-Jul-15,39.61,39.85,39.36,39.73,14861571
20-Jul-15,39.98,39.98,39.26,39.54,14752071
17-Jul-15,39.19,39.79,38.93,39.68,14864268
16-Jul-15,38.70,38.96,38.60,38.91,8462417
15-Jul-15,38.51,38.80,38.15,38.38,9147265
14-Jul-15,38.65,39.03,38.44,38.63,9506509
13-Jul-15,38.25,38.80,38.10,38.76,8713178
10-Jul-15,38.35,38.42,37.61,37.92,10057576
9-Jul-15,38.23,38.68,37.52,37.61,16909387
8-Jul-15,37.20,37.49,36.94,37.23,20529176
7-Jul-15,38.24,38.38,36.58,38.23,19432474
6-Jul-15,38.76,39.12,38.46,38.61,11803417
2-Jul-15,39.26,39.64,39.19,39.38,7712994
1-Jul-15,39.46,39.78,39.15,39.33,6398439
30-Jun-15,39.39,39.65,39.19,39.29,11258342
29-Jun-15,39.49,39.78,38.85,38.91,12481317
26-Jun-15,40.83,41.06,39.93,40.06,16430945
25-Jun-15,41.10,41.38,40.90,41.06,10776219
24-Jun-15,40.68,41.23,40.58,40.94,11462231
23-Jun-15,40.74,40.80,40.51,40.65,6860632
22-Jun-15,40.66,40.89,40.54,40.73,6141546
19-Jun-15,40.90,40.93,40.37,40.51,11661459
18-Jun-15,41.04,41.27,40.79,40.91,10017568
17-Jun-15,40.80,41.52,40.78,40.96,11943076
16-Jun-15,40.35,41.40,40.02,40.64,20454539
15-Jun-15,40.24,40.67,40.21,40.47,10876265
12-Jun-15,40.77,41.11,40.46,40.52,9232651
11-Jun-15,42.09,42.21,40.55,40.94,23694968
10-Jun-15,41.70,42.31,41.69,42.06,7943818
9-Jun-15,41.92,41.95,41.02,41.63,11995156
8-Jun-15,42.72,42.89,42.00,42.01,7625508
5-Jun-15,42.83,43.26,42.70,42.81,9831129
4-Jun-15,43.09,43.44,42.76,42.88,10033370
3-Jun-15,43.30,43.78,42.98,43.21,11893374
2-Jun-15,43.18,43.62,42.92,43.15,8866474
1-Jun-15,43.05,43.63,42.91,43.35,11152854
29-May-15,43.45,43.59,42.81,42.94,10927975
28-May-15,43.06,43.42,42.93,43.07,9414041
27-May-15,42.60,43.44,42.28,43.38,13686517
26-May-15,43.41,43.50,42.58,42.85,12796030
22-May-15,43.58,44.00,43.47,43.48,10279385
21-May-15,43.06,43.86,43.05,43.68,30404288
20-May-15,42.28,43.04,42.16,42.79,54530780
19-May-15,44.38,44.66,39.12,40.98,45363929
18-May-15,44.52,44.57,44.04,44.36,9229977
15-May-15,45.00,45.07,44.69,44.75,7768610
14-May-15,44.53,44.99,44.45,44.95,10301798
13-May-15,44.03,44.67,43.98,44.40,10987244
12-May-15,44.30,44.31,43.69,43.84,14264830
11-May-15,43.82,44.14,43.59,43.60,11509641
8-May-15,44.34,44.55,44.00,44.09,15750163
7-May-15,44.93,44.98,43.54,43.87,28213841
6-May-15,41.31,41.73,41.21,41.66,13976326
5-May-15,41.86,42.00,40.81,41.30,19377115
4-May-15,42.50,42.55,41.83,42.04,14483788
1-May-15,42.55,42.68,42.09,42.51,10467625
30-Apr-15,43.12,43.31,42.26,42.56,14257852
29-Apr-15,43.88,44.05,43.09,43.28,12712589
28-Apr-15,44.34,44.57,43.94,44.34,7197050
27-Apr-15,44.65,45.10,44.25,44.36,10855436
24-Apr-15,43.73,44.71,43.69,44.52,11281077
23-Apr-15,43.92,44.06,43.58,43.70,14298850
22-Apr-15,44.58,44.85,43.67,43.98,32284344
21-Apr-15,45.15,45.18,44.45,44.49,18617935
20-Apr-15,44.73,44.91,44.41,44.66,10228743
17-Apr-15,45.30,45.44,44.25,44.45,13591630
16-Apr-15,45.82,46.13,45.53,45.78,13833073
15-Apr-15,45.46,45.83,45.23,45.73,15039608
14-Apr-15,44.82,45.64,44.79,45.52,12365803
13-Apr-15,45.25,45.59,44.72,44.77,8837319
10-Apr-15,45.79,45.79,45.00,45.18,8436364
9-Apr-15,45.70,46.17,45.16,45.63,13677977
8-Apr-15,43.86,45.19,43.80,45.17,16071037
7-Apr-15,43.79,44.22,43.56,43.61,11381967
6-Apr-15,43.82,44.03,43.61,43.67,10717027
2-Apr-15,44.24,44.36,43.68,44.15,12229373
1-Apr-15,44.45,44.60,43.95,44.13,14722317
31-Mar-15,44.82,45.20,44.42,44.44,10415517
30-Mar-15,45.36,45.42,44.82,44.95,8884305
27-Mar-15,45.20,45.67,45.01,45.10,20563454
26-Mar-15,43.78,44.67,43.68,44.47,16162914
25-Mar-15,44.59,44.93,44.13,44.20,14036860
24-Mar-15,44.64,44.78,44.28,44.42,7559051
23-Mar-15,45.25,45.54,44.71,44.72,8268845
20-Mar-15,45.37,45.58,44.91,45.04,14194173
19-Mar-15,44.90,45.45,44.81,44.98,14758038
18-Mar-15,43.58,44.71,43.43,44.67,18919901
17-Mar-15,43.54,44.16,43.46,43.78,9656186
16-Mar-15,42.93,43.88,42.75,43.51,11376422
13-Mar-15,42.84,42.98,42.44,42.87,9087016
12-Mar-15,42.70,43.36,42.58,42.95,8384782
11-Mar-15,42.77,42.99,42.36,42.50,10007342
10-Mar-15,42.57,42.92,42.18,42.68,10600679
9-Mar-15,43.60,43.93,42.67,42.98,11801922
6-Mar-15,43.98,44.24,43.40,43.44,11888005
5-Mar-15,44.18,44.31,43.50,44.16,11867708
4-Mar-15,42.08,44.38,41.97,43.99,30098498
